ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1213,33nF,SM0805-C1,yageo,CC0805KRX7R8BB333,newark,69C9599,,,25V,10%,ceramic,other,more,stuff
C1214,33nF,SM0805-C1,yageo,CC0805KRX7R8BB333,newark,69C9599,,,25V,10%,ceramic,other,more,stuff
C1215,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1216,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1301,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1302,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1303,15nf,SM0805-C1,avx,08055C102KAT2A,digi,478-1371-6-ND,50,V,10,%,Ceramic,other,more,stuff
C1304,15nf,SM0805-C1,avx,08055C102KAT2A,digi,478-1371-6-ND,50,V,10,%,Ceramic,other,more,stuff
C1305,15nf,SM0805-C1,avx,08055C102KAT2A,digi,478-1371-6-ND,50,V,10,%,Ceramic,other,more,stuff
C1306,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1307,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1308,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1309,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,50,v,10,%,ceramic,-
C1310,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,50,v,10,%,ceramic,-
C1311,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,50,v,10,%,ceramic,-
C1312,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,50,v,10,%,ceramic,-
C1313,100pF,SM0805-C1,avx,08051A101FAT2A,newark,96M1317,-,-,100,v,1,%,ceramic,-
C1314,100pF,SM0805-C1,avx,08051A101FAT2A,newark,96M1317,-,-,100,v,1,%,ceramic,-
C1315,33nF,SM0805-C1,yageo,CC0805KRX7R8BB333,newark,69C9599,,,25V,10%,ceramic,other,more,stuff
C1316,33nF,SM0805-C1,yageo,CC0805KRX7R8BB333,newark,69C9599,,,25V,10%,ceramic,other,more,stuff
C1317,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1318,1.5nF,SM0805,Yageo,CC0805KRX7R9BB152,digikey,311-1128-1-ND,50v,10%,ceramic,other,more,stuff
